group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,3.1,20chol,7,-4.905,14.326,16.206,2.496,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.756,C:\TRKB_WP2\docking\results_batch\20chol\3.1_20chol_out.pdbqt
candidate,3.2,20chol,5,-4.747,15.217,17.096,2.465,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.407,C:\TRKB_WP2\docking\results_batch\20chol\3.2_20chol_out.pdbqt
candidate,4.1,20chol,9,-5.145,8.385,11.493,2.257,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.068,C:\TRKB_WP2\docking\results_batch\20chol\4.1_20chol_out.pdbqt
candidate,4.2,20chol,3,-5.434,4.0,6.107,2.526,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.276,C:\TRKB_WP2\docking\results_batch\20chol\4.2_20chol_out.pdbqt
candidate,4.3,20chol,7,-5.215,5.644,7.19,2.381,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.501,C:\TRKB_WP2\docking\results_batch\20chol\4.3_20chol_out.pdbqt
candidate,4.4,20chol,4,-5.225,4.493,6.658,2.385,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.11,C:\TRKB_WP2\docking\results_batch\20chol\4.4_20chol_out.pdbqt
candidate,5.1,20chol,6,-4.807,13.022,15.472,1.865,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.648,C:\TRKB_WP2\docking\results_batch\20chol\5.1_20chol_out.pdbqt
candidate,5.2,20chol,4,-4.787,12.969,14.274,2.589,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.61,C:\TRKB_WP2\docking\results_batch\20chol\5.2_20chol_out.pdbqt
candidate,5.3,20chol,3,-5.114,13.267,15.188,1.787,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.978,C:\TRKB_WP2\docking\results_batch\20chol\5.3_20chol_out.pdbqt
candidate,5.4,20chol,1,-5.055,0.0,0.0,2.46,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.917,C:\TRKB_WP2\docking\results_batch\20chol\5.4_20chol_out.pdbqt
candidate,6.1,20chol,1,-5.645,0.0,0.0,2.629,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.456,C:\TRKB_WP2\docking\results_batch\20chol\6.1_20chol_out.pdbqt
candidate,6.2,20chol,6,-5.393,14.464,16.392,2.02,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.387,C:\TRKB_WP2\docking\results_batch\20chol\6.2_20chol_out.pdbqt
candidate,7.1,20chol,3,-5.034,2.526,4.244,2.483,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.889,C:\TRKB_WP2\docking\results_batch\20chol\7.1_20chol_out.pdbqt
candidate,7.2,20chol,2,-4.901,2.699,5.211,2.311,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.808,C:\TRKB_WP2\docking\results_batch\20chol\7.2_20chol_out.pdbqt
candidate,7.3,20chol,6,-4.862,14.09,15.746,2.329,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.763,C:\TRKB_WP2\docking\results_batch\20chol\7.3_20chol_out.pdbqt
candidate,7.4,20chol,4,-4.669,13.286,14.675,2.128,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.631,C:\TRKB_WP2\docking\results_batch\20chol\7.4_20chol_out.pdbqt
candidate,8.1,20chol,4,-5.245,13.343,15.16,2.405,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.924,C:\TRKB_WP2\docking\results_batch\20chol\8.1_20chol_out.pdbqt
candidate,8.2,20chol,10,-5.176,4.378,7.443,2.432,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA,2,2,15.446,C:\TRKB_WP2\docking\results_batch\20chol\8.2_20chol_out.pdbqt
candidate,8.3,20chol,2,-5.296,14.962,16.999,2.447,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.962,C:\TRKB_WP2\docking\results_batch\20chol\8.3_20chol_out.pdbqt
