group,ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,10.1,40chol,-5.427,2.731,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.608,C:\TRKB_WP2\docking\results_batch\40chol\10.1_40chol_out.pdbqt
candidate,10.2,40chol,-5.796,2.347,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.892,C:\TRKB_WP2\docking\results_batch\40chol\10.2_40chol_out.pdbqt
candidate,10.3,40chol,-5.925,2.564,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.556,C:\TRKB_WP2\docking\results_batch\40chol\10.3_40chol_out.pdbqt
candidate,10.4,40chol,-6.161,2.635,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.970,C:\TRKB_WP2\docking\results_batch\40chol\10.4_40chol_out.pdbqt
candidate,11.1,40chol,-5.816,2.671,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,14.015,C:\TRKB_WP2\docking\results_batch\40chol\11.1_40chol_out.pdbqt
candidate,11.2,40chol,-5.548,2.510,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.195,C:\TRKB_WP2\docking\results_batch\40chol\11.2_40chol_out.pdbqt
candidate,11.3,40chol,-5.642,2.559,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.874,C:\TRKB_WP2\docking\results_batch\40chol\11.3_40chol_out.pdbqt
candidate,11.4,40chol,-5.556,2.317,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,13.261,C:\TRKB_WP2\docking\results_batch\40chol\11.4_40chol_out.pdbqt
candidate,12.1,40chol,-5.351,3.017,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.446,C:\TRKB_WP2\docking\results_batch\40chol\12.1_40chol_out.pdbqt
candidate,12.2,40chol,-5.362,2.441,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.030,C:\TRKB_WP2\docking\results_batch\40chol\12.2_40chol_out.pdbqt
candidate,13.1,40chol,-5.558,2.744,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.735,C:\TRKB_WP2\docking\results_batch\40chol\13.1_40chol_out.pdbqt
candidate,13.2,40chol,-5.77,2.577,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.397,C:\TRKB_WP2\docking\results_batch\40chol\13.2_40chol_out.pdbqt
candidate,13.3,40chol,-5.538,2.508,2,TYR13_chainA;VAL17_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,13.186,C:\TRKB_WP2\docking\results_batch\40chol\13.3_40chol_out.pdbqt
candidate,13.4,40chol,-5.776,2.556,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,14.609,C:\TRKB_WP2\docking\results_batch\40chol\13.4_40chol_out.pdbqt
candidate,14.1,40chol,-5.838,1.855,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,12.081,C:\TRKB_WP2\docking\results_batch\40chol\14.1_40chol_out.pdbqt
candidate,14.2,40chol,-5.821,2.180,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,11.967,C:\TRKB_WP2\docking\results_batch\40chol\14.2_40chol_out.pdbqt
